,league,date_utc,home_team,away_team,goals_home,goals_away,referee,home_halftime_outcome,home_outcome,reversed_result
0,Premier League,2023-08-11 19:00:00,Burnley,Manchester City,0,3,C Pawson,lose,lose,False
1,Premier League,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2,1,M Oliver,win,win,False
2,Premier League,2023-08-12 14:00:00,Bournemouth,West Ham,1,1,P Bankes,draw,draw,False
3,Premier League,2023-08-12 14:00:00,Everton,Fulham,0,1,S Attwell,draw,lose,False
4,Premier League,2023-08-12 14:00:00,Brighton,Luton,4,1,D Coote,win,win,False
5,Premier League,2023-08-12 14:00:00,Sheffield Utd,Crystal Palace,0,1,J Brooks,draw,lose,False
6,Premier League,2023-08-12 16:30:00,Newcastle,Aston Villa,5,1,A Madley,win,win,False
7,Premier League,2023-08-13 13:00:00,Brentford,Tottenham,2,2,R Jones,draw,draw,False
8,Premier League,2023-08-13 15:30:00,Chelsea,Liverpool,1,1,A Taylor,draw,draw,False
9,Premier League,2023-08-14 19:00:00,Manchester United,Wolves,1,0,S Hooper,draw,win,False
10,Premier League,2023-08-18 18:45:00,Nottingham Forest,Sheffield Utd,2,1,P Bankes,win,win,False
11,Premier League,2023-08-19 14:00:00,Fulham,Brentford,0,3,D Bond,lose,lose,False
12,Premier League,2023-08-19 14:00:00,Wolves,Brighton,1,4,A Madley,lose,lose,False
13,Premier League,2023-08-19 14:00:00,Liverpool,Bournemouth,3,1,T Bramall,win,win,False
14,Premier League,2023-08-19 16:30:00,Tottenham,Manchester United,2,0,M Oliver,draw,win,False
15,Premier League,2023-08-19 19:00:00,Manchester City,Newcastle,1,0,R Jones,win,win,False
16,Premier League,2023-08-20 13:00:00,Aston Villa,Everton,4,0,A Taylor,win,win,False
17,Premier League,2023-08-20 15:30:00,West Ham,Chelsea,3,1,J Brooks,draw,win,False
18,Premier League,2023-08-21 19:00:00,Crystal Palace,Arsenal,0,1,D Coote,draw,lose,False
19,Premier League,2023-08-25 19:00:00,Chelsea,Luton,3,0,R Jones,win,win,False
20,Premier League,2023-08-26 11:30:00,Bournemouth,Tottenham,0,2,T Robinson,lose,lose,False
21,Premier League,2023-08-26 14:00:00,Manchester United,Nottingham Forest,3,2,S Attwell,lose,win,True
22,Premier League,2023-08-26 14:00:00,Arsenal,Fulham,2,2,P Tierney,lose,draw,False
23,Premier League,2023-08-26 14:00:00,Everton,Wolves,0,1,C Pawson,draw,lose,False
24,Premier League,2023-08-26 14:00:00,Brentford,Crystal Palace,1,1,P Bankes,win,draw,False
25,Premier League,2023-08-26 16:30:00,Brighton,West Ham,1,3,A Taylor,lose,lose,False
26,Premier League,2023-08-27 13:00:00,Burnley,Aston Villa,1,3,M Salisbury,lose,lose,False
27,Premier League,2023-08-27 13:00:00,Sheffield Utd,Manchester City,1,2,J Gillett,draw,lose,False
28,Premier League,2023-08-27 15:30:00,Newcastle,Liverpool,1,2,J Brooks,win,lose,True
29,Premier League,2023-09-01 19:00:00,Luton,West Ham,1,2,P Tierney,lose,lose,False
30,Premier League,2023-09-02 11:30:00,Sheffield Utd,Everton,2,2,A Madley,win,draw,False
31,Premier League,2023-09-02 14:00:00,Burnley,Tottenham,2,5,D England,lose,lose,False
32,Premier League,2023-09-02 14:00:00,Chelsea,Nottingham Forest,0,1,T Robinson,draw,lose,False
33,Premier League,2023-09-02 14:00:00,Manchester City,Fulham,5,1,M Oliver,win,win,False
34,Premier League,2023-09-02 14:00:00,Brentford,Bournemouth,2,2,R Madley,draw,draw,False
35,Premier League,2023-09-02 16:30:00,Brighton,Newcastle,3,1,S Attwell,win,win,False
36,Premier League,2023-09-03 13:00:00,Liverpool,Aston Villa,3,0,S Hooper,win,win,False
37,Premier League,2023-09-03 13:00:00,Crystal Palace,Wolves,3,2,R Jones,draw,win,False
38,Premier League,2023-09-03 15:30:00,Arsenal,Manchester United,3,1,A Taylor,draw,win,False
39,Premier League,2023-09-16 11:30:00,Wolves,Liverpool,1,3,M Oliver,win,lose,True
40,Premier League,2023-09-16 14:00:00,Manchester United,Brighton,1,3,J Gillett,lose,lose,False
41,Premier League,2023-09-16 14:00:00,Fulham,Luton,1,0,M Salisbury,draw,win,False
42,Premier League,2023-09-16 14:00:00,Tottenham,Sheffield Utd,2,1,P Bankes,draw,win,False
43,Premier League,2023-09-16 14:00:00,West Ham,Manchester City,1,3,A Madley,win,lose,True
44,Premier League,2023-09-16 14:00:00,Aston Villa,Crystal Palace,3,1,D England,draw,win,False
45,Premier League,2023-09-16 16:30:00,Newcastle,Brentford,1,0,C Pawson,draw,win,False
46,Premier League,2023-09-17 13:00:00,Bournemouth,Chelsea,0,0,D Coote,draw,draw,False
47,Premier League,2023-09-17 15:30:00,Everton,Arsenal,0,1,S Hooper,draw,lose,False
48,Premier League,2023-09-18 18:45:00,Nottingham Forest,Burnley,1,1,R Jones,lose,draw,False
49,Premier League,2023-09-23 14:00:00,Manchester City,Nottingham Forest,2,0,A Taylor,win,win,False
50,Premier League,2023-09-23 14:00:00,Crystal Palace,Fulham,0,0,P Tierney,draw,draw,False
51,Premier League,2023-09-23 14:00:00,Luton,Wolves,1,1,J Smith,draw,draw,False
52,Premier League,2023-09-23 16:30:00,Brentford,Everton,1,3,M Oliver,draw,lose,False
53,Premier League,2023-09-23 19:00:00,Burnley,Manchester United,0,1,T Harrington,lose,lose,False
54,Premier League,2023-09-24 13:00:00,Liverpool,West Ham,3,1,C Kavanagh,draw,win,False
55,Premier League,2023-09-24 13:00:00,Arsenal,Tottenham,2,2,R Jones,draw,draw,False
56,Premier League,2023-09-24 13:00:00,Chelsea,Aston Villa,0,1,J Gillett,draw,lose,False
57,Premier League,2023-09-24 13:00:00,Brighton,Bournemouth,3,1,J Brooks,draw,win,False
58,Premier League,2023-09-24 15:30:00,Sheffield Utd,Newcastle,0,8,S Attwell,lose,lose,False
59,Premier League,2023-09-30 11:30:00,Aston Villa,Brighton,6,1,A Madley,win,win,False
60,Premier League,2023-09-30 14:00:00,Manchester United,Crystal Palace,0,1,C Kavanagh,lose,lose,False
61,Premier League,2023-09-30 14:00:00,Newcastle,Burnley,2,0,T Bramall,win,win,False
62,Premier League,2023-09-30 14:00:00,Bournemouth,Arsenal,0,4,M Salisbury,lose,lose,False
63,Premier League,2023-09-30 14:00:00,Wolves,Manchester City,2,1,C Pawson,win,win,False
64,Premier League,2023-09-30 14:00:00,Everton,Luton,1,2,A Taylor,lose,lose,False
65,Premier League,2023-09-30 14:00:00,West Ham,Sheffield Utd,2,0,G Scott,win,win,False
66,Premier League,2023-09-30 16:30:00,Tottenham,Liverpool,2,1,S Hooper,draw,win,False
67,Premier League,2023-10-01 13:00:00,Nottingham Forest,Brentford,1,1,P Tierney,draw,draw,False
68,Premier League,2023-10-02 19:00:00,Fulham,Chelsea,0,2,T Robinson,lose,lose,False
69,Premier League,2023-10-03 18:30:00,Luton,Burnley,1,2,P Bankes,lose,lose,False
70,Premier League,2023-10-07 11:30:00,Luton,Tottenham,0,1,J Brooks,draw,lose,False
71,Premier League,2023-10-07 14:00:00,Manchester United,Brentford,2,1,A Madley,lose,win,True
72,Premier League,2023-10-07 14:00:00,Fulham,Sheffield Utd,3,1,S Barrott,draw,win,False
73,Premier League,2023-10-07 14:00:00,Burnley,Chelsea,1,4,S Attwell,draw,lose,False
74,Premier League,2023-10-07 14:00:00,Everton,Bournemouth,3,0,D Coote,win,win,False
75,Premier League,2023-10-07 16:30:00,Crystal Palace,Nottingham Forest,0,0,C Pawson,draw,draw,False
76,Premier League,2023-10-08 13:00:00,Wolves,Aston Villa,1,1,R Jones,draw,draw,False
77,Premier League,2023-10-08 13:00:00,West Ham,Newcastle,2,2,P Bankes,win,draw,False
78,Premier League,2023-10-08 13:00:00,Brighton,Liverpool,2,2,A Taylor,lose,draw,False
79,Premier League,2023-10-08 15:30:00,Arsenal,Manchester City,1,0,M Oliver,draw,win,False
80,Premier League,2023-10-21 11:30:00,Liverpool,Everton,2,0,C Pawson,draw,win,False
81,Premier League,2023-10-21 14:00:00,Newcastle,Crystal Palace,4,0,T Robinson,win,win,False
82,Premier League,2023-10-21 14:00:00,Bournemouth,Wolves,1,2,P Tierney,win,lose,True
83,Premier League,2023-10-21 14:00:00,Manchester City,Brighton,2,1,R Jones,win,win,False
84,Premier League,2023-10-21 14:00:00,Brentford,Burnley,3,0,J Smith,win,win,False
85,Premier League,2023-10-21 14:00:00,Nottingham Forest,Luton,2,2,S Barrott,draw,draw,False
86,Premier League,2023-10-21 16:30:00,Chelsea,Arsenal,2,2,C Kavanagh,win,draw,False
87,Premier League,2023-10-21 19:00:00,Sheffield Utd,Manchester United,1,2,M Oliver,draw,lose,False
88,Premier League,2023-10-22 15:30:00,Aston Villa,West Ham,4,1,D Coote,win,win,False
89,Premier League,2023-10-23 19:00:00,Tottenham,Fulham,2,0,A Taylor,win,win,False
90,Premier League,2023-10-27 19:00:00,Crystal Palace,Tottenham,1,2,A Madley,draw,lose,False
91,Premier League,2023-10-28 11:30:00,Chelsea,Brentford,0,2,S Hooper,draw,lose,False
92,Premier League,2023-10-28 14:00:00,Bournemouth,Burnley,2,1,S Barrott,draw,win,False
93,Premier League,2023-10-28 14:00:00,Arsenal,Sheffield Utd,5,0,T Robinson,win,win,False
94,Premier League,2023-10-28 16:30:00,Wolves,Newcastle,2,2,A Taylor,lose,draw,False
95,Premier League,2023-10-29 13:00:00,West Ham,Everton,0,1,S Attwell,draw,lose,False
96,Premier League,2023-10-29 14:00:00,Liverpool,Nottingham Forest,3,0,C Kavanagh,win,win,False
97,Premier League,2023-10-29 14:00:00,Brighton,Fulham,1,1,M Salisbury,win,draw,False
98,Premier League,2023-10-29 14:00:00,Aston Villa,Luton,3,1,J Brooks,win,win,False
99,Premier League,2023-10-29 15:30:00,Manchester United,Manchester City,0,3,P Tierney,lose,lose,False
100,Premier League,2023-11-04 12:30:00,Fulham,Manchester United,0,1,J Brooks,draw,lose,False
101,Premier League,2023-11-04 15:00:00,Burnley,Crystal Palace,0,2,P Bankes,lose,lose,False
102,Premier League,2023-11-04 15:00:00,Everton,Brighton,1,1,T Robinson,win,draw,False
103,Premier League,2023-11-04 15:00:00,Manchester City,Bournemouth,6,1,C Pawson,win,win,False
104,Premier League,2023-11-04 15:00:00,Brentford,West Ham,3,2,T Bramall,lose,win,True
105,Premier League,2023-11-04 15:00:00,Sheffield Utd,Wolves,2,1,R Jones,draw,win,False
106,Premier League,2023-11-04 17:30:00,Newcastle,Arsenal,1,0,S Attwell,draw,win,False
107,Premier League,2023-11-05 14:00:00,Nottingham Forest,Aston Villa,2,0,J Gillett,win,win,False
108,Premier League,2023-11-05 16:30:00,Luton,Liverpool,1,1,A Madley,draw,draw,False
109,Premier League,2023-11-06 20:00:00,Tottenham,Chelsea,1,4,M Oliver,draw,lose,False
110,Premier League,2023-11-11 12:30:00,Wolves,Tottenham,2,1,T Robinson,lose,win,True
111,Premier League,2023-11-11 15:00:00,Manchester United,Luton,1,0,G Scott,draw,win,False
112,Premier League,2023-11-11 15:00:00,Arsenal,Burnley,3,1,M Oliver,win,win,False
113,Premier League,2023-11-11 15:00:00,Crystal Palace,Everton,2,3,S Barrott,draw,lose,False
114,Premier League,2023-11-11 17:30:00,Bournemouth,Newcastle,2,0,C Kavanagh,draw,win,False
115,Premier League,2023-11-12 14:00:00,Liverpool,Brentford,3,0,P Tierney,win,win,False
116,Premier League,2023-11-12 14:00:00,West Ham,Nottingham Forest,3,2,M Salisbury,draw,win,False
117,Premier League,2023-11-12 14:00:00,Brighton,Sheffield Utd,1,1,J Brooks,win,draw,False
118,Premier League,2023-11-12 14:00:00,Aston Villa,Fulham,3,1,S Hooper,win,win,False
119,Premier League,2023-11-12 16:30:00,Chelsea,Manchester City,4,4,A Taylor,draw,draw,False
120,Premier League,2023-11-25 12:30:00,Manchester City,Liverpool,1,1,C Kavanagh,win,draw,False
121,Premier League,2023-11-25 15:00:00,Newcastle,Chelsea,4,1,S Hooper,draw,win,False
122,Premier League,2023-11-25 15:00:00,Burnley,West Ham,1,2,S Barrott,draw,lose,False
123,Premier League,2023-11-25 15:00:00,Sheffield Utd,Bournemouth,1,3,A Madley,lose,lose,False
124,Premier League,2023-11-25 15:00:00,Nottingham Forest,Brighton,2,3,A Taylor,lose,lose,False
125,Premier League,2023-11-25 15:00:00,Luton,Crystal Palace,2,1,J Gillett,draw,win,False
126,Premier League,2023-11-25 17:30:00,Brentford,Arsenal,0,1,T Robinson,draw,lose,False
127,Premier League,2023-11-26 14:00:00,Tottenham,Aston Villa,1,2,R Jones,draw,lose,False
128,Premier League,2023-11-26 16:30:00,Everton,Manchester United,0,3,J Brooks,lose,lose,False
129,Premier League,2023-11-27 20:00:00,Fulham,Wolves,3,2,M Salisbury,draw,win,False
130,Premier League,2023-12-02 15:00:00,Arsenal,Wolves,2,1,P Bankes,win,win,False
131,Premier League,2023-12-02 15:00:00,Burnley,Sheffield Utd,5,0,C Kavanagh,win,win,False
132,Premier League,2023-12-02 15:00:00,Brentford,Luton,3,1,A Taylor,draw,win,False
133,Premier League,2023-12-02 17:30:00,Nottingham Forest,Everton,0,1,P Tierney,draw,lose,False
134,Premier League,2023-12-02 20:00:00,Newcastle,Manchester United,1,0,R Jones,draw,win,False
135,Premier League,2023-12-03 14:00:00,Bournemouth,Aston Villa,2,2,T Bramall,draw,draw,False
136,Premier League,2023-12-03 14:00:00,Liverpool,Fulham,4,3,S Attwell,draw,win,False
137,Premier League,2023-12-03 14:00:00,West Ham,Crystal Palace,1,1,M Oliver,win,draw,False
138,Premier League,2023-12-03 14:00:00,Chelsea,Brighton,3,2,C Pawson,win,win,False
139,Premier League,2023-12-03 16:30:00,Manchester City,Tottenham,3,3,S Hooper,win,draw,False
140,Premier League,2023-12-05 19:30:00,Wolves,Burnley,1,0,J Gillett,win,win,False
141,Premier League,2023-12-05 20:15:00,Luton,Arsenal,3,4,S Barrott,lose,lose,False
142,Premier League,2023-12-06 19:30:00,Fulham,Nottingham Forest,5,0,J Smith,win,win,False
143,Premier League,2023-12-06 19:30:00,Brighton,Brentford,2,1,P Bankes,draw,win,False
144,Premier League,2023-12-06 19:30:00,Crystal Palace,Bournemouth,0,2,C Pawson,lose,lose,False
145,Premier League,2023-12-06 19:30:00,Sheffield Utd,Liverpool,0,2,S Hooper,lose,lose,False
146,Premier League,2023-12-06 20:15:00,Manchester United,Chelsea,2,1,C Kavanagh,draw,win,False
147,Premier League,2023-12-06 20:15:00,Aston Villa,Manchester City,1,0,J Brooks,draw,win,False
148,Premier League,2023-12-07 19:30:00,Everton,Newcastle,3,0,T Robinson,draw,win,False
149,Premier League,2023-12-07 20:15:00,Tottenham,West Ham,1,2,M Salisbury,win,lose,True
150,Premier League,2023-12-09 12:30:00,Crystal Palace,Liverpool,1,2,A Madley,draw,lose,False
151,Premier League,2023-12-09 15:00:00,Manchester United,Bournemouth,0,3,P Bankes,lose,lose,False
152,Premier League,2023-12-09 15:00:00,Wolves,Nottingham Forest,1,1,S Barrott,draw,draw,False
153,Premier League,2023-12-09 15:00:00,Brighton,Burnley,1,1,S Hooper,lose,draw,False
154,Premier League,2023-12-09 15:00:00,Sheffield Utd,Brentford,1,0,S Attwell,win,win,False
155,Premier League,2023-12-09 17:30:00,Aston Villa,Arsenal,1,0,J Gillett,win,win,False
156,Premier League,2023-12-10 14:00:00,Fulham,West Ham,5,0,P Tierney,win,win,False
157,Premier League,2023-12-10 14:00:00,Everton,Chelsea,2,0,M Oliver,draw,win,False
158,Premier League,2023-12-10 14:00:00,Luton,Manchester City,1,2,T Robinson,win,lose,True
159,Premier League,2023-12-10 16:30:00,Tottenham,Newcastle,4,1,C Kavanagh,win,win,False
160,Premier League,2023-12-15 20:00:00,Nottingham Forest,Tottenham,0,2,J Gillett,lose,lose,False
161,Premier League,2023-12-16 15:00:00,Newcastle,Fulham,3,0,S Barrott,draw,win,False
162,Premier League,2023-12-16 15:00:00,Chelsea,Sheffield Utd,2,0,A Madley,draw,win,False
163,Premier League,2023-12-16 15:00:00,Manchester City,Crystal Palace,2,2,P Tierney,win,draw,False
164,Premier League,2023-12-16 17:30:00,Burnley,Everton,0,2,A Taylor,lose,lose,False
165,Premier League,2023-12-17 14:00:00,Arsenal,Brighton,2,0,T Robinson,draw,win,False
166,Premier League,2023-12-17 14:00:00,West Ham,Wolves,3,0,C Kavanagh,win,win,False
167,Premier League,2023-12-17 14:00:00,Brentford,Aston Villa,1,2,D Coote,win,lose,True
168,Premier League,2023-12-17 16:30:00,Liverpool,Manchester United,0,0,M Oliver,draw,draw,False
169,Premier League,2023-12-21 20:00:00,Crystal Palace,Brighton,1,1,J Brooks,win,draw,False
170,Premier League,2023-12-22 20:00:00,Aston Villa,Sheffield Utd,1,1,A Taylor,draw,draw,False
171,Premier League,2023-12-23 12:30:00,West Ham,Manchester United,2,0,S Hooper,draw,win,False
172,Premier League,2023-12-23 15:00:00,Fulham,Burnley,0,2,R Welch,draw,lose,False
173,Premier League,2023-12-23 15:00:00,Tottenham,Everton,2,1,S Attwell,win,win,False
174,Premier League,2023-12-23 15:00:00,Nottingham Forest,Bournemouth,2,3,R Jones,draw,lose,False
175,Premier League,2023-12-23 15:00:00,Luton,Newcastle,1,0,D England,win,win,False
176,Premier League,2023-12-23 17:30:00,Liverpool,Arsenal,1,1,C Kavanagh,draw,draw,False
177,Premier League,2023-12-24 13:00:00,Wolves,Chelsea,2,1,D Coote,draw,win,False
178,Premier League,2023-12-26 12:30:00,Newcastle,Nottingham Forest,1,3,C Kavanagh,draw,lose,False
179,Premier League,2023-12-26 15:00:00,Bournemouth,Fulham,3,0,T Robinson,win,win,False
180,Premier League,2023-12-26 15:00:00,Sheffield Utd,Luton,2,3,S Allison,lose,lose,False
181,Premier League,2023-12-26 17:30:00,Burnley,Liverpool,0,2,P Tierney,lose,lose,False
182,Premier League,2023-12-26 20:00:00,Manchester United,Aston Villa,3,2,C Pawson,lose,win,True
183,Premier League,2023-12-27 19:30:00,Chelsea,Crystal Palace,2,1,M Salisbury,draw,win,False
184,Premier League,2023-12-27 19:30:00,Brentford,Wolves,1,4,A Madley,lose,lose,False
185,Premier League,2023-12-27 20:15:00,Everton,Manchester City,1,3,J Brooks,win,lose,True
186,Premier League,2023-12-28 19:30:00,Brighton,Tottenham,4,2,J Gillett,win,win,False
187,Premier League,2023-12-28 20:15:00,Arsenal,West Ham,0,2,M Oliver,lose,lose,False
188,Premier League,2023-12-30 12:30:00,Luton,Chelsea,2,3,P Tierney,lose,lose,False
189,Premier League,2023-12-30 15:00:00,Wolves,Everton,3,0,T Bramall,win,win,False
